,count,mean,std,min,max,Missing Count
Air Temperature,196238.0,12.624225073635076,10.435491250453873,-29.78,37.6,75
Wet Bulb Temperature,120366.0,10.27482096273034,9.403981662014424,-28.9,28.4,75947
Humidity,196313.0,68.02391588942149,15.6339957135613,0.0,100.0,0
Rain Intensity,120366.0,0.15892693950118805,1.7940228166103562,0.0,183.6,75947
Interval Rain,196313.0,0.1423679022785042,1.0969230607538096,-0.9,63.42,0
Total Rain,120366.0,141.48457122443213,190.4590771816808,0.0,1056.1,75947
Precipitation Type,120366.0,4.267774953059834,15.589548562681943,0.0,70.0,75947
Wind Direction,196313.0,140.80295752191654,122.00747357163635,0.0,359.0,0
Wind Speed,196313.0,2.918785307137072,5.341879881583158,0.0,999.9,0
Maximum Wind Speed,196313.0,3.556968208931655,5.955099747225224,0.0,999.9,0
Barometric Pressure,196167.0,994.3134273348729,10.02922023732468,0.0,3098.5,146
Solar Radiation,196313.0,112.34736874277301,842.8080702318341,-100000.0,1277.0,0
Heading,120366.0,281.9668344881445,142.77175241020728,0.0,359.0,75947
Battery Life,196313.0,13.163250014008243,1.5446151630769804,0.0,15.3,0
