feature,xgb_importance,random_forest_importance
Air Temperature,0.3400808,0.488929230224138
Heading,0.22871535,0.24212046920917962
Wet Bulb Temperature,0.15237233,0.07477253461539174
Barometric Pressure,0.08840602,0.1225521689473836
Solar Radiation,0.040803656,0.017568868480651773
Humidity,0.03837793,0.022663173881272498
Wind Speed,0.033359807,0.012916310337874989
Maximum Wind Speed,0.03259219,0.012711779267055065
Interval Rain,0.01955814,0.003162011309272684
Battery Life,0.017344816,0.001871589466722297
Rain Intensity,0.008388993,0.0007318642610578655
